Series Id,Year,Period,Value
APU0000704111,1980,M01,1.453
APU0000704111,1980,M02,1.410
APU0000704111,1980,M03,1.361
APU0000704111,1980,M04,1.323
APU0000704111,1980,M05,1.266
APU0000704111,1980,M06,1.271
APU0000704111,1980,M07,1.371
APU0000704111,1980,M08,1.469
APU0000704111,1980,M09,1.617
APU0000704111,1980,M10,1.641
APU0000704111,1980,M11,1.684
APU0000704111,1980,M12,1.711
APU0000704111,1981,M01,1.668
APU0000704111,1981,M02,1.638
APU0000704111,1981,M03,1.596
APU0000704111,1981,M04,1.530
APU0000704111,1981,M05,1.548
APU0000704111,1981,M06,1.601
APU0000704111,1981,M07,1.665
APU0000704111,1981,M08,1.693
APU0000704111,1981,M09,1.753
APU0000704111,1981,M10,1.780
APU0000704111,1981,M11,1.766
APU0000704111,1981,M12,1.751
APU0000704111,1982,M01,1.747
APU0000704111,1982,M02,1.811
APU0000704111,1982,M03,1.824
APU0000704111,1982,M04,1.894
APU0000704111,1982,M05,1.982
APU0000704111,1982,M06,2.070
APU0000704111,1982,M07,2.101
APU0000704111,1982,M08,2.200
APU0000704111,1982,M09,2.360
APU0000704111,1982,M10,2.334
APU0000704111,1982,M11,2.186
APU0000704111,1982,M12,2.128
APU0000704111,1983,M01,2.123
APU0000704111,1983,M02,2.147
APU0000704111,1983,M03,2.072
APU0000704111,1983,M04,2.003
APU0000704111,1983,M05,1.951
APU0000704111,1983,M06,1.910
APU0000704111,1983,M07,1.918
APU0000704111,1983,M08,1.876
APU0000704111,1983,M09,1.914
APU0000704111,1983,M10,1.857
APU0000704111,1983,M11,1.773
APU0000704111,1983,M12,1.758
APU0000704111,1984,M01,1.812
APU0000704111,1984,M02,1.881
APU0000704111,1984,M03,1.803
APU0000704111,1984,M04,1.798
APU0000704111,1984,M05,1.817
APU0000704111,1984,M06,1.832
APU0000704111,1984,M07,1.901
APU0000704111,1984,M08,1.902
APU0000704111,1984,M09,1.889
APU0000704111,1984,M10,1.895
APU0000704111,1984,M11,1.867
APU0000704111,1984,M12,1.890
APU0000704111,1985,M01,1.952
APU0000704111,1985,M02,1.966
APU0000704111,1985,M03,1.956
APU0000704111,1985,M04,1.948
APU0000704111,1985,M05,1.928
APU0000704111,1985,M06,1.894
APU0000704111,1985,M07,1.951
APU0000704111,1985,M08,1.960
APU0000704111,1985,M09,1.926
APU0000704111,1985,M10,1.945
APU0000704111,1985,M11,1.932
APU0000704111,1985,M12,1.918
APU0000704111,1986,M01,1.935
APU0000704111,1986,M02,1.956
APU0000704111,1986,M03,1.892
APU0000704111,1986,M04,1.871
APU0000704111,1986,M05,1.869
APU0000704111,1986,M06,1.953
APU0000704111,1986,M07,2.157
APU0000704111,1986,M08,2.332
APU0000704111,1986,M09,2.373
APU0000704111,1986,M10,2.298
APU0000704111,1986,M11,2.187
APU0000704111,1986,M12,2.159
APU0000704111,1987,M01,2.118
APU0000704111,1987,M02,2.091
APU0000704111,1987,M03,2.095
APU0000704111,1987,M04,2.076
APU0000704111,1987,M05,2.112
APU0000704111,1987,M06,2.126
APU0000704111,1987,M07,2.231
APU0000704111,1987,M08,2.284
APU0000704111,1987,M09,2.280
APU0000704111,1987,M10,2.193
APU0000704111,1987,M11,2.071
APU0000704111,1987,M12,2.020
APU0000704111,1988,M01,1.954
APU0000704111,1988,M02,1.940
APU0000704111,1988,M03,1.919
APU0000704111,1988,M04,1.907
APU0000704111,1988,M05,1.900
APU0000704111,1988,M06,1.904
APU0000704111,1988,M07,1.908
APU0000704111,1988,M08,1.879
APU0000704111,1988,M09,1.835
APU0000704111,1988,M10,1.860
APU0000704111,1988,M11,1.802
APU0000704111,1988,M12,1.792
APU0000704111,1989,M01,1.805
APU0000704111,1989,M02,1.799
APU0000704111,1989,M03,1.787
APU0000704111,1989,M04,1.747
APU0000704111,1989,M05,1.680
APU0000704111,1989,M06,1.692
APU0000704111,1989,M07,1.710
APU0000704111,1989,M08,1.721
APU0000704111,1989,M09,1.716
APU0000704111,1989,M10,1.768
APU0000704111,1989,M11,1.820
APU0000704111,1989,M12,1.956
APU0000704111,1990,M01,1.966
APU0000704111,1990,M02,2.009
APU0000704111,1990,M03,1.991
APU0000704111,1990,M04,1.979
APU0000704111,1990,M05,2.044
APU0000704111,1990,M06,2.147
APU0000704111,1990,M07,2.210
APU0000704111,1990,M08,2.243
APU0000704111,1990,M09,2.176
APU0000704111,1990,M10,2.208
APU0000704111,1990,M11,2.242
APU0000704111,1990,M12,2.283
APU0000704111,1991,M01,2.257
APU0000704111,1991,M02,2.301
APU0000704111,1991,M03,2.318
APU0000704111,1991,M04,2.271
APU0000704111,1991,M05,2.311
APU0000704111,1991,M06,2.305
APU0000704111,1991,M07,2.309
APU0000704111,1991,M08,2.219
APU0000704111,1991,M09,2.160
APU0000704111,1991,M10,2.121
APU0000704111,1991,M11,2.071
APU0000704111,1991,M12,1.994
APU0000704111,1992,M01,1.957
APU0000704111,1992,M02,1.954
APU0000704111,1992,M03,1.922
APU0000704111,1992,M04,1.915
APU0000704111,1992,M05,1.904
APU0000704111,1992,M06,1.926
APU0000704111,1992,M07,1.937
APU0000704111,1992,M08,1.938
APU0000704111,1992,M09,1.925
APU0000704111,1992,M10,1.892
APU0000704111,1992,M11,1.850
APU0000704111,1992,M12,1.863
APU0000704111,1993,M01,1.874
APU0000704111,1993,M02,1.840
APU0000704111,1993,M03,1.802
APU0000704111,1993,M04,1.892
APU0000704111,1993,M05,1.910
APU0000704111,1993,M06,1.949
APU0000704111,1993,M07,1.955
APU0000704111,1993,M08,1.954
APU0000704111,1993,M09,1.982
APU0000704111,1993,M10,1.988
APU0000704111,1993,M11,2.008
APU0000704111,1993,M12,2.018
APU0000704111,1994,M01,2.041
APU0000704111,1994,M02,2.019
APU0000704111,1994,M03,2.017
APU0000704111,1994,M04,2.063
APU0000704111,1994,M05,2.016
APU0000704111,1994,M06,1.985
APU0000704111,1994,M07,2.000
APU0000704111,1994,M08,1.987
APU0000704111,1994,M09,1.973
APU0000704111,1994,M10,1.965
APU0000704111,1994,M11,1.917
APU0000704111,1994,M12,1.892
APU0000704111,1995,M01,1.930
APU0000704111,1995,M02,1.930
APU0000704111,1995,M03,1.910
APU0000704111,1995,M04,1.890
APU0000704111,1995,M05,1.918
APU0000704111,1995,M06,1.896
APU0000704111,1995,M07,1.906
APU0000704111,1995,M08,1.968
APU0000704111,1995,M09,2.042
APU0000704111,1995,M10,2.117
APU0000704111,1995,M11,2.155
APU0000704111,1995,M12,2.166
APU0000704111,1996,M01,2.138
APU0000704111,1996,M02,2.203
APU0000704111,1996,M03,2.202
APU0000704111,1996,M04,2.242
APU0000704111,1996,M05,2.345
APU0000704111,1996,M06,2.493
APU0000704111,1996,M07,2.542
APU0000704111,1996,M08,2.682
APU0000704111,1996,M09,2.809
APU0000704111,1996,M10,2.721
APU0000704111,1996,M11,2.656
APU0000704111,1996,M12,2.642
APU0000704111,1997,M01,2.664
APU0000704111,1997,M02,2.651
APU0000704111,1997,M03,2.657
APU0000704111,1997,M04,2.660
APU0000704111,1997,M05,2.627
APU0000704111,1997,M06,2.694
APU0000704111,1997,M07,2.718
APU0000704111,1997,M08,2.755
APU0000704111,1997,M09,2.750
APU0000704111,1997,M10,2.730
APU0000704111,1997,M11,2.665
APU0000704111,1997,M12,2.607
APU0000704111,1998,M01,2.644
APU0000704111,1998,M02,2.623
APU0000704111,1998,M03,2.539
APU0000704111,1998,M04,2.444
APU0000704111,1998,M05,2.438
APU0000704111,1998,M06,2.457
APU0000704111,1998,M07,2.517
APU0000704111,1998,M08,2.513
APU0000704111,1998,M09,2.576
APU0000704111,1998,M10,2.567
APU0000704111,1998,M11,2.619
APU0000704111,1998,M12,2.580
APU0000704111,1999,M01,2.523
APU0000704111,1999,M02,2.520
APU0000704111,1999,M03,2.507
APU0000704111,1999,M04,2.445
APU0000704111,1999,M05,2.474
APU0000704111,1999,M06,2.504
APU0000704111,1999,M07,2.503
APU0000704111,1999,M08,2.543
APU0000704111,1999,M09,2.580
APU0000704111,1999,M10,2.570
APU0000704111,1999,M11,2.658
APU0000704111,1999,M12,2.752
APU0000704111,2000,M01,2.750
APU0000704111,2000,M02,2.871
APU0000704111,2000,M03,2.928
APU0000704111,2000,M04,2.953
APU0000704111,2000,M05,3.006
APU0000704111,2000,M06,3.132
APU0000704111,2000,M07,3.168
APU0000704111,2000,M08,3.200
APU0000704111,2000,M09,3.209
APU0000704111,2000,M10,3.069
APU0000704111,2000,M11,3.053
APU0000704111,2000,M12,3.028
APU0000704111,2001,M01,2.994
APU0000704111,2001,M02,3.065
APU0000704111,2001,M03,3.159
APU0000704111,2001,M04,3.114
APU0000704111,2001,M05,3.256
APU0000704111,2001,M06,3.253
APU0000704111,2001,M07,3.324
APU0000704111,2001,M08,3.468
APU0000704111,2001,M09,3.487
APU0000704111,2001,M10,3.338
APU0000704111,2001,M11,3.297
APU0000704111,2001,M12,3.300
APU0000704111,2002,M01,3.271
APU0000704111,2002,M02,3.317
APU0000704111,2002,M03,3.266
APU0000704111,2002,M04,3.257
APU0000704111,2002,M05,3.182
APU0000704111,2002,M06,3.193
APU0000704111,2002,M07,3.231
APU0000704111,2002,M08,3.269
APU0000704111,2002,M09,3.155
APU0000704111,2002,M10,3.240
APU0000704111,2002,M11,3.211
APU0000704111,2002,M12,3.242
APU0000704111,2003,M01,3.195
APU0000704111,2003,M02,3.281
APU0000704111,2003,M03,3.216
APU0000704111,2003,M04,3.287
APU0000704111,2003,M05,3.086
APU0000704111,2003,M06,3.136
APU0000704111,2003,M07,3.155
APU0000704111,2003,M08,3.229
APU0000704111,2003,M09,3.219
APU0000704111,2003,M10,3.161
APU0000704111,2003,M11,3.228
APU0000704111,2003,M12,3.182
APU0000704111,2004,M01,3.157
APU0000704111,2004,M02,3.189
APU0000704111,2004,M03,3.129
APU0000704111,2004,M04,3.196
APU0000704111,2004,M05,3.330
APU0000704111,2004,M06,3.420
APU0000704111,2004,M07,3.470
APU0000704111,2004,M08,3.622
APU0000704111,2004,M09,3.589
APU0000704111,2004,M10,3.606
APU0000704111,2004,M11,3.438
APU0000704111,2004,M12,3.369
APU0000704111,2005,M01,3.367
APU0000704111,2005,M02,3.395
APU0000704111,2005,M03,3.355
APU0000704111,2005,M04,3.331
APU0000704111,2005,M05,3.560
APU0000704111,2005,M06,3.457
APU0000704111,2005,M07,3.478
APU0000704111,2005,M08,3.442
APU0000704111,2005,M09,3.404
APU0000704111,2005,M10,3.327
APU0000704111,2005,M11,3.262
APU0000704111,2005,M12,3.327
APU0000704111,2006,M01,3.364
APU0000704111,2006,M02,3.385
APU0000704111,2006,M03,3.396
APU0000704111,2006,M04,3.343
APU0000704111,2006,M05,3.309
APU0000704111,2006,M06,3.399
APU0000704111,2006,M07,3.508
APU0000704111,2006,M08,3.559
APU0000704111,2006,M09,3.552
APU0000704111,2006,M10,3.610
APU0000704111,2006,M11,3.444
APU0000704111,2006,M12,3.458
APU0000704111,2007,M01,3.510
APU0000704111,2007,M02,3.566
APU0000704111,2007,M03,3.464
APU0000704111,2007,M04,3.496
APU0000704111,2007,M05,3.651
APU0000704111,2007,M06,3.657
APU0000704111,2007,M07,3.723
APU0000704111,2007,M08,3.798
APU0000704111,2007,M09,3.784
APU0000704111,2007,M10,3.883
APU0000704111,2007,M11,3.656
APU0000704111,2007,M12,3.688
APU0000704111,2008,M01,3.652
APU0000704111,2008,M02,3.620
APU0000704111,2008,M03,3.623
APU0000704111,2008,M04,3.554
APU0000704111,2008,M05,3.637
APU0000704111,2008,M06,3.655
APU0000704111,2008,M07,3.605
APU0000704111,2008,M08,3.842
APU0000704111,2008,M09,3.725
APU0000704111,2008,M10,3.745
APU0000704111,2008,M11,3.597
APU0000704111,2008,M12,3.670
APU0000704111,2009,M01,3.730
APU0000704111,2009,M02,3.620
APU0000704111,2009,M03,3.590
APU0000704111,2009,M04,3.581
APU0000704111,2009,M05,3.663
APU0000704111,2009,M06,3.621
APU0000704111,2009,M07,3.640
APU0000704111,2009,M08,3.588
APU0000704111,2009,M09,3.592
APU0000704111,2009,M10,3.603
APU0000704111,2009,M11,3.498
APU0000704111,2009,M12,3.570
APU0000704111,2010,M01,3.630
APU0000704111,2010,M02,3.642
APU0000704111,2010,M03,3.669
APU0000704111,2010,M04,3.643
APU0000704111,2010,M05,3.862
APU0000704111,2010,M06,4.046
APU0000704111,2010,M07,4.213
APU0000704111,2010,M08,4.353
APU0000704111,2010,M09,4.574
APU0000704111,2010,M10,4.773
APU0000704111,2010,M11,4.697
APU0000704111,2010,M12,4.160
APU0000704111,2011,M01,4.250
APU0000704111,2011,M02,4.366
APU0000704111,2011,M03,4.537
APU0000704111,2011,M04,4.662
APU0000704111,2011,M05,4.770
APU0000704111,2011,M06,4.840
APU0000704111,2011,M07,4.755
APU0000704111,2011,M08,4.770
APU0000704111,2011,M09,4.819
APU0000704111,2011,M10,4.586
APU0000704111,2011,M11,4.637
APU0000704111,2011,M12,4.550
APU0000704111,2012,M01,4.571
APU0000704111,2012,M02,4.655
APU0000704111,2012,M03,4.600
APU0000704111,2012,M04,4.533
APU0000704111,2012,M05,4.385
APU0000704111,2012,M06,4.326
APU0000704111,2012,M07,4.365
APU0000704111,2012,M08,4.609
APU0000704111,2012,M09,4.692
APU0000704111,2012,M10,4.661
APU0000704111,2012,M11,4.640
APU0000704111,2012,M12,4.639
APU0000704111,2013,M01,4.722
APU0000704111,2013,M02,4.831
APU0000704111,2013,M03,4.909
APU0000704111,2013,M04,4.887
APU0000704111,2013,M05,5.092
APU0000704111,2013,M06,5.334
APU0000704111,2013,M07,5.494
APU0000704111,2013,M08,5.618
APU0000704111,2013,M09,5.680
APU0000704111,2013,M10,5.708
APU0000704111,2013,M11,5.615
APU0000704111,2013,M12,5.544
APU0000704111,2014,M01,5.563
APU0000704111,2014,M02,5.461
APU0000704111,2014,M03,5.552
APU0000704111,2014,M04,5.690
APU0000704111,2014,M05,6.048
APU0000704111,2014,M06,6.106
APU0000704111,2014,M07,6.009
APU0000704111,2014,M08,6.068
APU0000704111,2014,M09,5.953
APU0000704111,2014,M10,5.759
APU0000704111,2014,M11,5.574
APU0000704111,2014,M12,5.531
APU0000704111,2015,M01,5.589
APU0000704111,2015,M02,5.472
APU0000704111,2015,M03,5.367
APU0000704111,2015,M04,5.211
APU0000704111,2015,M05,4.940
APU0000704111,2015,M06,5.059
APU0000704111,2015,M07,5.184
APU0000704111,2015,M08,5.410
APU0000704111,2015,M09,5.734
APU0000704111,2015,M10,5.899
APU0000704111,2015,M11,5.847
APU0000704111,2015,M12,5.734
APU0000704111,2016,M01,5.656
APU0000704111,2016,M02,5.394
APU0000704111,2016,M03,5.494
APU0000704111,2016,M04,5.613
APU0000704111,2016,M05,5.552
APU0000704111,2016,M06,5.374
APU0000704111,2016,M07,5.454
APU0000704111,2016,M08,5.448
APU0000704111,2016,M09,5.481
APU0000704111,2016,M10,5.375
APU0000704111,2016,M11,5.106
APU0000704111,2016,M12,5.102
APU0000704111,2017,M01,5.180
APU0000704111,2017,M02,5.334
APU0000704111,2017,M03,5.745
APU0000704111,2017,M04,5.775
APU0000704111,2017,M05,5.699
APU0000704111,2017,M06,5.665
APU0000704111,2017,M07,5.819
APU0000704111,2017,M08,6.241
APU0000704111,2017,M09,6.366
APU0000704111,2017,M10,6.066
APU0000704111,2017,M11,5.708
APU0000704111,2017,M12,5.629
APU0000704111,2018,M01,5.654
APU0000704111,2018,M02,5.533
APU0000704111,2018,M03,5.527
APU0000704111,2018,M04,5.421
APU0000704111,2018,M05,5.452
APU0000704111,2018,M06,5.247
APU0000704111,2018,M07,5.418
APU0000704111,2018,M08,5.577
APU0000704111,2018,M09,5.501
APU0000704111,2018,M10,5.370
APU0000704111,2018,M11,5.392
APU0000704111,2018,M12,5.502
APU0000704111,2019,M01,5.518
APU0000704111,2019,M02,5.502
APU0000704111,2019,M03,5.608
APU0000704111,2019,M04,5.552
APU0000704111,2019,M05,5.812
APU0000704111,2019,M06,5.878
APU0000704111,2019,M07,5.701
APU0000704111,2019,M08,5.576
APU0000704111,2019,M09,5.571
APU0000704111,2019,M10,5.653
APU0000704111,2019,M11,5.505
APU0000704111,2019,M12,5.474
APU0000704111,2020,M01,5.505
APU0000704111,2020,M02,5.497
APU0000704111,2020,M03,5.257
APU0000704111,2020,M04,5.346
APU0000704111,2020,M05,5.348
APU0000704111,2020,M06,5.772
APU0000704111,2020,M07,5.776
APU0000704111,2020,M08,5.559
APU0000704111,2020,M09,5.619
APU0000704111,2020,M10,5.722
APU0000704111,2020,M11,5.754
APU0000704111,2020,M12,5.831
APU0000704111,2021,M01,5.831
APU0000704111,2021,M02,5.778
APU0000704111,2021,M03,5.852
APU0000704111,2021,M04,6.215
APU0000704111,2021,M05,6.346
APU0000704111,2021,M06,6.670
APU0000704111,2021,M07,6.857
APU0000704111,2021,M08,7.096
APU0000704111,2021,M09,7.220
APU0000704111,2021,M10,7.317
APU0000704111,2021,M11,7.265
APU0000704111,2021,M12,7.211
APU0000704111,2022,M01,7.222
APU0000704111,2022,M02,7.097
APU0000704111,2022,M03,7.203
APU0000704111,2022,M04,7.422
APU0000704111,2022,M05,7.364
APU0000704111,2022,M06,7.403
APU0000704111,2022,M07,7.415
